Customer ID,Gender_x,Age_x,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Transaction ID,Date,Product Category,Quantity,Price per Unit,Total Amount
101,Female,29,New York,Gold,1011.7778947895233,14,4.6,True,25,Satisfied,101,2023-01-29,Clothing,1,328.94481446220806,328.94481446220806
102,Male,34,Los Angeles,Silver,841.3048107918229,11,4.1,False,18,Neutral,102,2023-04-28,Beauty,2,24.12098050035373,48.24196100070746
103,Female,43,Chicago,Bronze,542.0100825217058,9,3.4,True,42,Unsatisfied,103,2023-01-17,Clothing,1,25.643922014396274,25.643922014396274
104,Male,30,San Francisco,Gold,1584.1105754768585,19,4.7,False,12,Satisfied,104,2023-06-11,Beauty,2,504.2014008178538,1008.4028016357076
105,Male,27,Miami,Silver,765.595921013643,13,4.0,True,55,Unsatisfied,105,2023-07-25,Electronics,1,464.79605751026673,464.79605751026673
106,Female,37,Houston,Bronze,443.70402668274147,8,3.1,False,22,Neutral,106,2023-05-18,Clothing,1,49.604611901969726,49.604611901969726
107,Female,31,New York,Gold,1106.64232013355,15,4.5,True,28,Satisfied,107,2023-02-03,Clothing,3,275.4173107803068,826.2519323409205
108,Male,35,Los Angeles,Silver,777.4362035888971,12,4.2,False,14,Neutral,108,2023-04-19,Beauty,3,26.096886898783193,78.29066069634958
109,Female,41,Chicago,Bronze,460.3930430461789,10,3.6,True,40,Unsatisfied,109,2023-10-18,Electronics,3,513.9657257503553,1541.8971772510658
110,Male,28,San Francisco,Gold,1580.641052507855,21,4.8,False,9,Satisfied,110,2023-06-11,Clothing,3,328.9625506057401,986.8876518172203
111,Male,32,Miami,Silver,686.3620194873071,11,3.8,True,34,Unsatisfied,111,2023-04-19,Electronics,3,451.9495109308398,1355.8485327925193
112,Female,36,Houston,Bronze,451.6654741561702,7,3.2,False,20,Neutral,112,2023-12-02,Clothing,2,548.1447460297568,1096.2894920595136
113,Female,30,New York,Gold,1151.9932990439518,16,4.3,True,21,Satisfied,113,2023-09-13,Electronics,2,24.211499222228877,48.422998444457754
114,Male,33,Los Angeles,Silver,765.55298921863,13,4.4,False,15,Satisfied,114,2023-07-22,Beauty,3,23.53880581988533,70.61641745965599
